ACC,GT3,porsche_991_gt3_r,Porsche 991 GT3 R,2018,Porsche
ACC,GT3,mercedes_amg_gt3,Mercedes-AMG GT3,2015,Mercedes
ACC,GT3,ferrari_488_gt3,Ferrari 488 GT3,2018,Ferrari
ACC,GT3,audi_r8_lms,Audi R8 LMS,2015,Audi
ACC,GT3,lamborghini_huracan_gt3,Lamborghini Huracan GT3,2015,Lamborghini
ACC,GT3,mclaren_650s_gt3,McLaren 650S GT3,2015,McLaren
ACC,GT3,nissan_gt_r_nismo_gt3,Nissan GT-R Nismo GT3,2018,Nissan
ACC,GT3,bmw_m6_gt3,BMW M6 GT3,2017,BMW
ACC,GT3,bentley_continental_gt3_2018,Bentley Continental GT3,2018,Bentley
ACC,GTC,porsche_991ii_gt3_cup,Porsche 991 II GT3 Cup,2017,Porsche
ACC,GT3,nissan_gt_r_nismo_gt3,Nissan GT-R Nismo GT3,2015,Nissan
ACC,GT3,bentley_continental_gt3_2016,Bentley Continental GT3,2016,Bentley
ACC,GT3,amr_v12_vantage_gt3,AMR V12 Vantage GT3,2013,Aston-Martin
ACC,GT3,lamborghini_gallardo_rex,Reiter Engineering R-EX GT3,2017,Lamborghini
ACC,GT3,jaguar_g3,Emil Frey Jaguar G3,2012,Jaguar
ACC,GT3,lexus_rc_f_gt3,Lexus RC F GT3,2016,Lexus
ACC,GT3,lamborghini_huracan_gt3_evo16,Lamborghini Huracan GT3 Evo,2019,Lamborghini
ACC,GT3,honda_nsx_gt3,Honda NSX GT3,2017,Honda
ACC,GTC,lamborghini_huracan_st,Lamborghini Huracan SuperTrofeo,2015,Lamborghini
ACC,GT3,audi_r8_lms_evo,Audi R8 LMS Evo,2019,Audi
ACC,GT3,amr_v8_vantage_gt3,AMR V8 Vantage,2019,Aston-Martin
ACC,GT3,honda_nsx_gt3_evo,Honda NSX GT3 Evo,2019,Honda
ACC,GT3,mclaren_720s_gt3,McLaren 720S GT3,2019,McLaren
ACC,GT3,porsche_991ii_gt3_r,Porsche 991 II GT3 R,2019,Porsche
ACC,GT3,ferrari_488_gt3_evo,Ferrari 488 GT3 Evo,2020,Ferrari
ACC,GT3,mercedes_amg_gt3_evo,Mercedes-AMG GT3,2020,Mercedes
ACC,GTC,ferrari_488_challenge_evo,Ferrari 488 Challenge Evo,2020,Ferrari
ACC,TCX,bmw_m2_cs_racing,BMW M2 Club Sport Racing,2020,BMW
ACC,GTC,porsche_992_gt3_cup,Porsche 992 GT3 Cup,2021,Porsche
ACC,GTC,lamborghini_huracan_st_evo2,Lamborghini Huracan SuperTrofeo EVO2,2021,Lamborghini
ACC,GT3,bmw_m4_gt3,BMW M4 GT3,2022,BMW
ACC,GT3,audi_r8_lms_evo_ii,Audi R8 LMS GT3 Evo 2,2022,Audi
ACC,GT4,alpine_a110_gt4,Alpine A110 GT4,2018,Alpine
ACC,GT4,amr_v8_vantage_gt4,Aston Martin Vantage GT4,2018,Aston-Martin
ACC,GT4,audi_r8_gt4,Audi R8 GT4,2018,Audi
ACC,GT4,bmw_m4_gt4,BMW M4 GT4,2018,BMW
ACC,GT4,chevrolet_camaro_gt4,Chevrolet Camaro GT4,2017,Chevrolet
ACC,GT4,ginetta_g55_gt4,Ginetta G55 GT4,2012,Ginetta
ACC,GT4,ktm_xbow_gt4,KTM X-Bow GT4,2016,KTM
ACC,GT4,maserati_mc_gt4,Maserati MC GT4,2016,Maserati
ACC,GT4,mclaren_570s_gt4,McLaren 570S GT4,2016,McLaren
ACC,GT4,mercedes_amg_gt4,Mercedes AMG GT4,2016,Mercedes
ACC,GT4,porsche_718_cayman_gt4_mr,Porsche 718 Cayman GT4 Clubsport,2019,Porsche
ACC,GT3,ferrari_296_gt3,Ferrari 296 GT3,2023,Ferrari
ACC,GT3,lamborghini_huracan_gt3_evo2,Lamborghini Huracan GT3 Evo 2,2023,Lamborghini
ACC,GT3,porsche_992_gt3_r,Porsche 992 GT3 R,2023,Porsche
ACC,GT3,mclaren_720s_gt3_evo,McLaren 720S GT3 Evo,2023,McLaren
ACC,GT2,audi_r8_lms_gt2,Audi R8 LMS GT2,2021,Audi
ACC,GT2,ktm_xbow_gt2,KTM XBOW GT2,2021,KTM
ACC,GT2,maserati_mc20_gt2,Maserati MC20 GT2,2023,Maserati
ACC,GT2,mercedes_amg_gt2,Mercedes AMG GT2,2023,Mercedes
ACC,GT2,porsche_911_gt2_rs_mr,Porsche 911 RS CS Evo GT2,2023,Porsche
ACC,GT2,porsche_935,Porsche 935 GT2,2019,Porsche
ACC,GT3,ford_mustang_gt3,Ford Mustang GT3,2024,Ford
